Phylum;Phylum_count;bact_defence_system;system_count;Number_of_phylum_containing_each_system;Total_number_of_different_system_per_prokaryotic_genomes;Frequency_of_each_system_in_a_given_phylum
Deinococcota;5;Pycsar;0;0;0;0
Deinococcota;5;RADAR;0;0;0;0
Deinococcota;5;RM;4;5;16;1
Deinococcota;5;Retron;0;0;0;0
Deinococcota;5;Septu;0;0;0;0
Deinococcota;5;Shedu;0;0;0;0
Deinococcota;5;TIR-NLR;0;0;0;0
Deinococcota;5;TerY-P;1;1;1;0.2
Deinococcota;5;Thoeris;0;0;0;0
Deinococcota;5;Tmn;0;0;0;0
Deinococcota;5;Upx;0;0;0;0
Deinococcota;5;Viperin;0;0;0;0
Deinococcota;5;Wadjet;1;1;1;0.2
Deinococcota;5;Zorya;0;0;0;0
Deinococcota;5;dXTPase;1;3;3;0.6
Deinococcota;5;ietAS;0;0;0;0
Deinococcota;5;qatABCD;0;0;0;0
Desulfobacterota;3;3HP;0;0;0;0
Desulfobacterota;3;AVAST;0;0;0;0
Desulfobacterota;3;Abi;1;1;1;0.333333333
Desulfobacterota;3;Argonaute;0;0;0;0
Desulfobacterota;3;BREX;0;0;0;0
Desulfobacterota;3;CBASS;1;1;1;0.333333333
Desulfobacterota;3;CRISPR-Cas;1;2;2;0.666666667
Desulfobacterota;3;DISARM;0;0;0;0
Desulfobacterota;3;DRT;1;1;1;0.333333333
Desulfobacterota;3;DUF4238;0;0;0;0
Desulfobacterota;3;DarTG;0;0;0;0
Desulfobacterota;3;Dpd;0;0;0;0
Desulfobacterota;3;DprA-PRTase;0;0;0;0
Desulfobacterota;3;Druantia;0;0;0;0
Desulfobacterota;3;Dsr;0;0;0;0
Desulfobacterota;3;GAO;1;1;1;0.333333333
Desulfobacterota;3;Gabija;0;0;0;0
Desulfobacterota;3;Gasdermin;0;0;0;0
Desulfobacterota;3;Hachiman;0;0;0;0
Desulfobacterota;3;Helicase-DUF2290;1;1;1;0.333333333
Desulfobacterota;3;Hhe;0;0;0;0
Desulfobacterota;3;Hma;0;0;0;0
Desulfobacterota;3;Hydrolase-TM;0;0;0;0
Desulfobacterota;3;Kiwa;0;0;0;0
Desulfobacterota;3;Lamassu;0;0;0;0
Desulfobacterota;3;Mza;0;0;0;0
Desulfobacterota;3;Nhi;0;0;0;0
Desulfobacterota;3;PARIS;0;0;0;0
Desulfobacterota;3;Paris_fused;0;0;0;0
Desulfobacterota;3;Phosphorothioation;1;1;1;0.333333333
Desulfobacterota;3;Ppl;0;0;0;0
Desulfobacterota;3;Pycsar;1;1;1;0.333333333
Desulfobacterota;3;RADAR;0;0;0;0
Desulfobacterota;3;RM;2;3;4;1
Desulfobacterota;3;Retron;1;2;2;0.666666667
Desulfobacterota;3;Septu;1;1;1;0.333333333
Desulfobacterota;3;Shedu;1;1;1;0.333333333
Desulfobacterota;3;TIR-NLR;0;0;0;0
Desulfobacterota;3;TerY-P;0;0;0;0
Desulfobacterota;3;Thoeris;0;0;0;0
Desulfobacterota;3;Tmn;0;0;0;0
Desulfobacterota;3;Upx;0;0;0;0
Desulfobacterota;3;Viperin;0;0;0;0
Desulfobacterota;3;Wadjet;0;0;0;0
Desulfobacterota;3;Zorya;0;0;0;0
Desulfobacterota;3;dXTPase;0;0;0;0
Desulfobacterota;3;ietAS;1;1;1;0.333333333
Desulfobacterota;3;qatABCD;0;0;0;0
Hydrogenedentota;1;3HP;0;0;0;0
Hydrogenedentota;1;AVAST;0;0;0;0
Hydrogenedentota;1;Abi;1;1;1;1
Hydrogenedentota;1;Argonaute;0;0;0;0
Hydrogenedentota;1;BREX;2;1;2;1
Hydrogenedentota;1;CBASS;1;1;1;1
Hydrogenedentota;1;CRISPR-Cas;0;0;0;0
Hydrogenedentota;1;DISARM;0;0;0;0
Hydrogenedentota;1;DRT;0;0;0;0
Hydrogenedentota;1;DUF4238;0;0;0;0
Hydrogenedentota;1;DarTG;0;0;0;0
Hydrogenedentota;1;Dpd;0;0;0;0
Hydrogenedentota;1;DprA-PRTase;0;0;0;0
Hydrogenedentota;1;Druantia;0;0;0;0
Hydrogenedentota;1;Dsr;0;0;0;0
Hydrogenedentota;1;GAO;0;0;0;0
Hydrogenedentota;1;Gabija;1;1;1;1
Hydrogenedentota;1;Gasdermin;0;0;0;0
Hydrogenedentota;1;Hachiman;0;0;0;0
Hydrogenedentota;1;Helicase-DUF2290;0;0;0;0
Hydrogenedentota;1;Hhe;0;0;0;0
Hydrogenedentota;1;Hma;0;0;0;0
Hydrogenedentota;1;Hydrolase-TM;0;0;0;0
Hydrogenedentota;1;Kiwa;0;0;0;0
Hydrogenedentota;1;Lamassu;0;0;0;0
Hydrogenedentota;1;Mza;0;0;0;0
Hydrogenedentota;1;Nhi;0;0;0;0
Hydrogenedentota;1;PARIS;0;0;0;0
Hydrogenedentota;1;Paris_fused;0;0;0;0
Hydrogenedentota;1;Phosphorothioation;0;0;0;0
Hydrogenedentota;1;Ppl;0;0;0;0
Hydrogenedentota;1;Pycsar;0;0;0;0
Hydrogenedentota;1;RADAR;0;0;0;0
Hydrogenedentota;1;RM;0;0;0;0
Hydrogenedentota;1;Retron;0;0;0;0
Hydrogenedentota;1;Septu;0;0;0;0
Hydrogenedentota;1;Shedu;0;0;0;0
Hydrogenedentota;1;TIR-NLR;0;0;0;0
Hydrogenedentota;1;TerY-P;0;0;0;0
Hydrogenedentota;1;Thoeris;0;0;0;0
Hydrogenedentota;1;Tmn;0;0;0;0
Hydrogenedentota;1;Upx;0;0;0;0
Hydrogenedentota;1;Viperin;0;0;0;0
Hydrogenedentota;1;Wadjet;0;0;0;0
Hydrogenedentota;1;Zorya;0;0;0;0
Hydrogenedentota;1;dXTPase;0;0;0;0
Hydrogenedentota;1;ietAS;0;0;0;0
Hydrogenedentota;1;qatABCD;0;0;0;0
Myxococcota;1;3HP;0;0;0;0
Myxococcota;1;AVAST;0;0;0;0
Myxococcota;1;Abi;0;0;0;0
Myxococcota;1;Argonaute;0;0;0;0
Myxococcota;1;BREX;0;0;0;0
Myxococcota;1;CBASS;1;1;1;1
Myxococcota;1;CRISPR-Cas;0;0;0;0
Myxococcota;1;DISARM;1;1;1;1
Myxococcota;1;DRT;1;1;1;1
Myxococcota;1;DUF4238;0;0;0;0
Myxococcota;1;DarTG;0;0;0;0
Myxococcota;1;Dpd;0;0;0;0
Myxococcota;1;DprA-PRTase;0;0;0;0
Myxococcota;1;Druantia;0;0;0;0
Myxococcota;1;Dsr;0;0;0;0
Myxococcota;1;GAO;0;0;0;0
Myxococcota;1;Gabija;0;0;0;0
Myxococcota;1;Gasdermin;0;0;0;0
Myxococcota;1;Hachiman;0;0;0;0
Myxococcota;1;Helicase-DUF2290;0;0;0;0
Myxococcota;1;Hhe;0;0;0;0
Myxococcota;1;Hma;0;0;0;0
Myxococcota;1;Hydrolase-TM;0;0;0;0
Myxococcota;1;Kiwa;0;0;0;0
Myxococcota;1;Lamassu;1;1;1;1
Myxococcota;1;Mza;0;0;0;0
Myxococcota;1;Nhi;0;0;0;0
Myxococcota;1;PARIS;0;0;0;0
Myxococcota;1;Paris_fused;0;0;0;0
Myxococcota;1;Phosphorothioation;0;0;0;0
Myxococcota;1;Ppl;0;0;0;0
Myxococcota;1;Pycsar;0;0;0;0
Myxococcota;1;RADAR;0;0;0;0
Myxococcota;1;RM;0;0;0;0
Myxococcota;1;Retron;1;1;1;1
Myxococcota;1;Septu;0;0;0;0
Myxococcota;1;Shedu;0;0;0;0
Myxococcota;1;TIR-NLR;0;0;0;0
Myxococcota;1;TerY-P;0;0;0;0
Myxococcota;1;Thoeris;0;0;0;0
Myxococcota;1;Tmn;0;0;0;0
Myxococcota;1;Upx;0;0;0;0
